Year,Emissions
1999.877867,41.96186057
2003.989833,43.00305568
2010.568036,44.25588502
2018.926833,45.40912177
2024.132809,45.62641467
2026.185963,44.90776369
2027.963492,43.46565188
2030.012638,40.99139882
2031.511949,37.68984835
2033.826816,31.60168628
2035.727893,24.27342689
2037.085031,18.69963785
2038.167487,12.8154708
2039.932285,5.796740607
2042.517117,-2.046457673
2046.477243,-7.511600272
2053.178522,-12.35145994
2060.019381,-16.05505885
2067.549183,-18.00164101
2077.134026,-19.84070847
2087.130772,-21.26584427
2097.265448,-22.27761431
2099.867729,-22.47877999
